Date,6758-T,6861-T,7203-T,8035-T,8306-T,9432-T,9984-T
2023-10-26,0.0,0.036308057790699746,0.0,0.0,0.036494498868110965,0.0376124396977193,0.0
2023-10-27,0.0,0.03672323560136069,0.0,0.0,0.03726341696273231,0.037958910291978835,0.0
2023-10-30,0.0,0.03959878030271963,0.0,0.0,0.03646808924494089,0.03752146915253716,0.0
2023-10-31,0.0,0.04009696340174601,0.0,0.0,0.03719234364432413,0.038112964315207644,0.0
2023-11-01,0.0,0.040874123902713666,0.0,0.0,0.038157151511057634,0.038350316298429714,0.0
2023-11-02,0.022611636537291015,0.0,0.0,0.022611636537291015,0.0,0.0,0.022611636537291015
2023-11-06,0.022993857980072793,0.0,0.0,0.023063399680502743,0.0,0.0,0.023044741119075486
2023-11-07,0.02311984344876172,0.0,0.0,0.022750021262731002,0.0,0.0,0.023112436432052658
2023-11-08,0.023460743770347382,0.0,0.0,0.022805058959472352,0.0,0.0,0.022439440485401238
2023-11-09,0.023260243633247683,0.0,0.0,0.023416557709790602,0.0,0.0,0.02266495139226404
2023-11-10,0.022830558640677113,0.0,0.0,0.023832992110426207,0.0,0.0,0.020854440198453113
2023-11-13,0.02228146380451347,0.0,0.0,0.024252363421213983,0.0,0.0,0.020758609538460624
2023-11-14,0.022156836846376773,0.0,0.0,0.024944569823165504,0.0,0.0,0.020619436852671067
2023-11-15,0.023192999227478143,0.0,0.0,0.025814129104549225,0.0,0.0,0.02162129817253225
2023-11-16,0.023160513892494648,0.0,0.0,0.025780497067185555,0.0,0.0,0.021934942890389626
2023-11-17,0.022957470876786994,0.0,0.0,0.025815609811086118,0.0,0.0,0.021802036771918838
2023-11-20,0.02268971287495935,0.0,0.0,0.02559552192440179,0.0,0.0,0.0221184432808651
2023-11-21,0.022618798925310296,0.0,0.0,0.02586840265585604,0.0,0.0,0.02230656729538313
2023-11-22,0.022831372451710394,0.0,0.0,0.025629931439161813,0.0,0.0,0.022247585520278498
2023-11-24,0.022544572075999594,0.0,0.0,0.02569717182426881,0.0,0.0,0.02235789923801042
2023-11-27,0.022485893464433818,0.0,0.0,0.025646058434398163,0.0,0.0,0.02199220425428309
2023-11-28,0.0225115838785239,0.0,0.0,0.0255864233496883,0.0,0.0,0.022052633917270893
2023-11-29,0.02236289245287489,0.0,0.0,0.025666696688630815,0.0,0.0,0.02173481935603569
2023-11-30,0.022509448522896984,0.0,0.0,0.025738607942852553,0.0,0.0,0.021628023921458187
2023-12-01,0.022350015541997333,0.0,0.0,0.025569594339812745,0.0,0.0,0.02128412602483827
2023-12-04,0.06338868201704492,0.0,0.0,0.06338868201704492,0.06338868201704492,0.0,0.0
2023-12-05,0.06395207064517225,0.0,0.0,0.06102762155103852,0.06316386386680849,0.0,0.0
2023-12-06,0.06620213973078197,0.0,0.0,0.06210345986377696,0.06327774485852457,0.0,0.0
2023-12-07,0.06530119046555492,0.0,0.0,0.06004335401796726,0.06396575370794624,0.0,0.0
2023-12-08,0.06463927338972911,0.0,0.0,0.05958713434586952,0.06418952347153194,0.0,0.0
2023-12-11,0.06558494964661979,0.0,0.0,0.061361278983642874,0.06509728698178853,0.0,0.0
2023-12-12,0.06571154056490446,0.0,0.0,0.062268732873126606,0.064055712255315,0.0,0.0
2023-12-13,0.06576094563792932,0.0,0.0,0.06495295662380608,0.06441798349154344,0.0,0.0
2023-12-14,0.06532410650739202,0.0,0.0,0.06412460684713372,0.062393058893333936,0.0,0.0
2023-12-15,0.06724504124850889,0.0,0.0,0.06490212965422078,0.061139435559674195,0.0,0.0
2023-12-18,0.06589951974267974,0.0,0.0,0.06505421949845061,0.06093992100041981,0.0,0.0
2023-12-19,0.06604605839392833,0.0,0.0,0.06730873343672249,0.06013451446665178,0.0,0.0
2023-12-20,0.06615950931772023,0.0,0.0,0.06722965132395521,0.060250162011661085,0.0,0.0
2023-12-21,0.06590110469674808,0.0,0.0,0.0658961562088473,0.060076963512509365,0.0,0.0
2023-12-22,0.06532679347029219,0.0,0.0,0.06632053188330131,0.06171720203269925,0.0,0.0
2023-12-25,0.0659702151703416,0.0,0.0,0.06660399009915348,0.06122722537745154,0.0,0.0
2023-12-26,0.06607446693052293,0.0,0.0,0.06728845383438606,0.061006659539249795,0.0,0.0
2023-12-27,0.06688801856745173,0.0,0.0,0.06799606611668353,0.061181720745915186,0.0,0.0
2023-12-28,0.06709971031379576,0.0,0.0,0.06762116661841083,0.060911066618576856,0.0,0.0
2023-12-29,0.06727376175264095,0.0,0.0,0.06706198664953844,0.06131456490434887,0.0,0.0
2024-01-04,0.0659716495414239,0.0,0.0,0.06401263699175902,0.06226030688254191,0.0,0.0
2024-01-05,0.0,0.0,0.022056537729241536,0.0,0.022056537729241533,0.022056537729241536,0.0
2024-01-09,0.0,0.0,0.021992726701848545,0.0,0.022080246426125594,0.022206136389777555,0.0
